classIDx,frame_idx,mean_score,std_score,min_score,max_score
72,16,0.0323,0.01473,0.01086,0.04902
72,17,0.03807,0.01221,0.02363,0.06027
72,18,0.04039,0.01069,0.0291,0.0619
72,19,0.04116,0.01122,0.02435,0.06021
72,20,0.03759,0.00894,0.02561,0.05204
72,21,0.03986,0.00951,0.03007,0.0602
72,22,0.04081,0.00947,0.02937,0.06012
72,23,0.04009,0.01289,0.02804,0.06793
110,1,0.05261,0.0145,0.02847,0.06672
110,2,0.05334,0.01479,0.02979,0.06725
110,3,0.05271,0.01496,0.02819,0.06951
110,4,0.05278,0.01394,0.03181,0.07079
110,5,0.04868,0.01648,0.02304,0.06809
110,6,0.05095,0.01507,0.02587,0.06789
110,7,0.04911,0.01897,0.02177,0.07784
110,8,0.04769,0.02096,0.01899,0.07955
110,9,0.05597,0.0137,0.03203,0.0717
110,102,0.02423,0.015,0.00792,0.0548
110,103,0.02003,0.01417,0.00198,0.04807
110,104,0.01931,0.01319,0.00245,0.03883
110,105,0.02029,0.01235,0.00276,0.0367
110,110,0.02073,0.01126,0.00322,0.04346
110,111,0.02562,0.01067,0.00857,0.03906
110,112,0.03057,0.01495,0.01217,0.05372
110,113,0.02382,0.01348,0.00277,0.03931
110,175,0.04413,0.02756,0.00947,0.08842
110,177,0.03791,0.02182,0.01273,0.0694
110,178,0.04699,0.02286,0.01563,0.07285
110,179,0.0482,0.02689,0.01177,0.08255
110,180,0.04674,0.02636,0.0076,0.08209
110,181,0.04412,0.02883,0.00081,0.08294
110,182,0.04472,0.03277,0.00162,0.08842
110,207,0.01568,0.00881,0.0042,0.02938
110,216,0.02827,0.01122,0.01031,0.04489
110,217,0.02766,0.00969,0.01402,0.04274
110,219,0.01665,0.0068,0.00904,0.02984
110,222,0.02398,0.01859,0.00436,0.05558
116,1,0.01272,0.00801,0.00425,0.02338
122,7,0.01172,0.00762,0.00172,0.02
122,10,0.00778,0.00511,0.00276,0.01874
122,36,0.02666,0.02305,0.00051,0.06111
122,43,0.01608,0.00716,0.00465,0.02875
122,44,0.01373,0.00532,0.00463,0.02125
122,47,0.0175,0.00799,0.00589,0.03291
122,48,0.01593,0.00848,0.00589,0.02966
122,49,0.01647,0.00793,0.00595,0.03088
122,50,0.02323,0.01249,0.00225,0.04312
122,53,0.02931,0.01592,0.00202,0.04937
122,54,0.02845,0.01219,0.00647,0.04434
122,55,0.03535,0.00774,0.02636,0.04778
122,56,0.03482,0.00957,0.01975,0.05065
122,57,0.0329,0.00766,0.01807,0.04042
128,7,0.03697,0.01554,0.00491,0.05005
128,8,0.04336,0.01622,0.01869,0.06388
128,10,0.04343,0.01861,0.00525,0.0588
134,8,0.05098,0.02051,0.02892,0.07957
134,9,0.04998,0.02739,0.01958,0.09802
134,10,0.05494,0.02662,0.01793,0.09017
134,11,0.06313,0.02184,0.03916,0.09225
134,12,0.05692,0.01599,0.02884,0.07618
134,13,0.06559,0.01118,0.04429,0.07772
134,14,0.07491,0.01523,0.05574,0.09411
134,15,0.07386,0.01215,0.05826,0.09164
134,16,0.07028,0.01217,0.0513,0.08851
134,17,0.06919,0.01623,0.04777,0.09185
134,18,0.07298,0.01985,0.04473,0.10183
134,19,0.07282,0.01139,0.0597,0.09276
134,20,0.07396,0.01253,0.05781,0.09542
134,21,0.07541,0.01789,0.0478,0.10151
134,22,0.06988,0.0214,0.03073,0.08993
134,23,0.06564,0.01173,0.0461,0.08054
134,24,0.06023,0.01444,0.03882,0.0797
134,25,0.05822,0.01517,0.03961,0.07896
134,26,0.07046,0.01285,0.04943,0.09088
134,27,0.06203,0.01536,0.03586,0.0798
134,28,0.07612,0.01416,0.0537,0.09822
134,29,0.07494,0.01303,0.05301,0.089
134,30,0.08223,0.01322,0.05684,0.09936
134,31,0.07453,0.01014,0.06398,0.09278
134,32,0.05908,0.01219,0.04686,0.08483
134,33,0.05595,0.00894,0.04812,0.07443
134,34,0.05645,0.01431,0.03679,0.08163
134,35,0.05337,0.01167,0.03963,0.07561
134,36,0.05675,0.00915,0.04777,0.07101
134,37,0.05309,0.00661,0.04419,0.06182
134,38,0.04972,0.00811,0.04143,0.06581
134,39,0.04164,0.011,0.02765,0.05905
134,40,0.04429,0.00969,0.03241,0.05758
134,41,0.05587,0.00842,0.04631,0.06824
134,42,0.05308,0.00628,0.03925,0.05796
134,43,0.05199,0.01032,0.03544,0.06691
134,44,0.03944,0.00495,0.03122,0.04552
134,45,0.03694,0.01205,0.01579,0.05567
134,46,0.04048,0.01486,0.01442,0.06559
134,47,0.04382,0.0195,0.01707,0.07127
134,48,0.04417,0.01868,0.01414,0.07155
134,49,0.04642,0.01496,0.02828,0.06851
134,50,0.0326,0.01648,0.01151,0.06581
134,51,0.0387,0.01644,0.01211,0.05789
134,52,0.04361,0.01993,0.01043,0.06603
134,134,0.02153,0.01599,0.00476,0.04013
134,168,0.0197,0.01286,0.00082,0.03168
141,31,0.0069,0.00532,0.00073,0.01644
141,34,0.0084,0.00727,0.00094,0.02351
141,35,0.00959,0.00884,0.00269,0.02876
141,73,0.01976,0.01019,0.00201,0.0343
141,74,0.02631,0.01153,0.00735,0.04288
141,75,0.02675,0.0065,0.01781,0.03346
141,76,0.03124,0.00673,0.02377,0.04211
141,77,0.02588,0.00595,0.01874,0.03472
141,78,0.03721,0.0043,0.02993,0.04397
141,79,0.03025,0.00766,0.01522,0.038
141,80,0.0319,0.00666,0.02262,0.04444
141,86,0.02265,0.00974,0.00316,0.03024
141,87,0.01751,0.00784,0.00518,0.02715
141,88,0.01878,0.00888,0.00526,0.03005
141,90,0.01477,0.00546,0.00583,0.02315
141,91,0.01434,0.00852,0.00271,0.02572
141,92,0.0136,0.00801,0.00318,0.02631
141,93,0.01455,0.00729,0.00407,0.02219
141,94,0.01509,0.00848,0.00273,0.02504
141,95,0.01515,0.00668,0.0062,0.02241
141,96,0.01681,0.00756,0.00747,0.02495
141,97,0.01082,0.0067,0.00144,0.01866
141,98,0.01697,0.0081,0.00512,0.02656
141,118,0.01609,0.00831,0.00216,0.02616
144,76,0.02824,0.02416,0.00111,0.06335
146,1,0.15232,0.0134,0.14039,0.17307
146,2,0.14364,0.00245,0.13886,0.147
146,3,0.08712,0.01031,0.08021,0.10841
146,4,0.12713,0.00195,0.12412,0.12998
146,5,0.14329,0.00442,0.13541,0.14855
146,6,0.15453,0.00418,0.14821,0.16089
146,7,0.1367,0.00617,0.12636,0.14668
146,8,0.10424,0.00693,0.09378,0.114
146,9,0.1212,0.00975,0.11379,0.1409
146,10,0.09457,0.01076,0.07455,0.10723
146,11,0.0704,0.01136,0.05251,0.08623
146,12,0.09694,0.0086,0.08563,0.10831
146,13,0.09833,0.02326,0.06999,0.13041
146,14,0.12496,0.00481,0.11731,0.13172
146,15,0.13606,0.00823,0.12165,0.14587
146,16,0.12885,0.00894,0.11554,0.14243
146,17,0.1319,0.01822,0.0994,0.14808
146,18,0.11674,0.00603,0.10873,0.12363
159,4,0.0348,0.01672,0.00644,0.06011
159,6,0.05002,0.01342,0.02915,0.06593
159,11,0.03231,0.01383,0.00499,0.04708
159,12,0.0316,0.01737,0.00442,0.05794
159,13,0.04855,0.01559,0.02042,0.06966
159,14,0.05572,0.01616,0.03154,0.07359
159,15,0.04079,0.01634,0.01698,0.05548
159,16,0.05574,0.01217,0.03718,0.07373
159,17,0.04257,0.01909,0.00156,0.0584
159,18,0.04854,0.01791,0.01832,0.06704
159,19,0.05132,0.01487,0.02371,0.06716
159,20,0.03965,0.01836,0.00564,0.06365
159,21,0.04399,0.01748,0.0117,0.06008
159,26,0.03106,0.0193,0.00356,0.0539
159,29,0.0384,0.02252,0.00028,0.07102
159,30,0.04166,0.01651,0.01626,0.06463
159,31,0.04238,0.01231,0.02196,0.06034
159,32,0.0305,0.01834,0.00132,0.05487
159,33,0.02683,0.01531,0.00716,0.056
159,34,0.02408,0.0143,0.00413,0.04861
159,35,0.03781,0.01597,0.01507,0.05527
159,36,0.03706,0.01537,0.01155,0.05859
159,37,0.04432,0.01727,0.01701,0.0694
159,38,0.03287,0.01683,0.00496,0.04637
159,39,0.04463,0.01607,0.01359,0.05833
159,40,0.03234,0.02082,0.00222,0.05809
159,41,0.03866,0.01094,0.02335,0.05397
159,42,0.03691,0.01328,0.0149,0.04783
159,43,0.04247,0.01213,0.02432,0.05497
159,44,0.03386,0.0146,0.00319,0.04608
159,45,0.02705,0.01672,0.00282,0.04675
159,46,0.02865,0.01733,0.00134,0.04515
159,48,0.04112,0.02058,0.01314,0.06577
159,53,0.02002,0.01077,0.00483,0.03572
159,55,0.03319,0.02223,0.00272,0.06316
159,57,0.02825,0.01553,0.00019,0.04787
159,59,0.04381,0.01261,0.01926,0.06077
159,60,0.03748,0.00626,0.02645,0.04481
159,63,0.02155,0.0125,0.00868,0.04772
159,64,0.05708,0.01551,0.03559,0.08055
159,65,0.0668,0.00753,0.0555,0.07631
159,66,0.06976,0.00761,0.05851,0.08273
159,67,0.06684,0.0084,0.05147,0.0773
159,68,0.07498,0.00737,0.06098,0.08323
159,69,0.0736,0.00811,0.05795,0.08443
159,70,0.07308,0.00721,0.06528,0.08367
159,71,0.0719,0.01179,0.05178,0.08919
159,72,0.06559,0.01031,0.04757,0.07917
159,73,0.06742,0.01435,0.04517,0.08835
159,74,0.05549,0.01817,0.02474,0.08441
159,75,0.05344,0.00713,0.04131,0.06063
159,76,0.04973,0.00959,0.03307,0.06371
159,77,0.05847,0.01245,0.03797,0.0717
159,78,0.0667,0.00689,0.05616,0.07791
159,79,0.07687,0.00659,0.0678,0.08435
159,80,0.06613,0.00845,0.05589,0.08038
159,81,0.0662,0.00995,0.0527,0.08011
159,82,0.06838,0.0086,0.0543,0.07946
159,83,0.07883,0.01046,0.06769,0.09608
159,84,0.06946,0.00554,0.0648,0.08118
159,85,0.0798,0.00888,0.06082,0.08704
159,86,0.07832,0.00694,0.06526,0.08512
159,87,0.07752,0.00575,0.06772,0.08374
159,88,0.08436,0.00804,0.07024,0.09563
159,89,0.08365,0.00883,0.0697,0.09523
159,90,0.08567,0.00902,0.0732,0.09659
159,91,0.08198,0.00653,0.07583,0.09449
159,92,0.0759,0.00714,0.06491,0.08765
159,93,0.06935,0.00849,0.05499,0.07784
159,94,0.06479,0.0063,0.05378,0.07189
159,95,0.06566,0.0085,0.04971,0.07662
159,96,0.06416,0.0109,0.05099,0.07875
159,97,0.06922,0.01197,0.05028,0.08374
159,98,0.0725,0.01389,0.04782,0.08634
159,99,0.07257,0.01526,0.04684,0.09105
159,100,0.06908,0.01403,0.04724,0.0896
159,101,0.05911,0.01636,0.03481,0.07793
161,22,0.03487,0.01342,0.00959,0.04892
174,13,0.0525,0.02677,0.02453,0.08319
174,14,0.07318,0.02382,0.04445,0.10362
174,15,0.05471,0.026,0.02771,0.08694
174,16,0.04512,0.01848,0.02668,0.07194
176,1,0.03283,0.01726,0.01662,0.06467
176,27,0.03026,0.01386,0.00442,0.04545
176,28,0.03536,0.01666,0.00929,0.06359
176,29,0.02805,0.01314,0.00705,0.04746
187,1,0.03819,0.01877,0.01293,0.06308
187,3,0.0277,0.00349,0.02398,0.03274
187,4,0.0365,0.00786,0.02436,0.05009
187,5,0.03454,0.01,0.01676,0.05102
187,6,0.02755,0.01643,0.0064,0.04539
187,7,0.02467,0.01699,0.00407,0.04333
187,8,0.03168,0.02316,0.00486,0.06035
187,9,0.03082,0.02067,0.00543,0.05467
187,10,0.03132,0.0215,0.00532,0.06106
187,11,0.03032,0.02048,0.00602,0.05903
187,12,0.03162,0.0169,0.01221,0.05365
187,15,0.02294,0.01766,0.00242,0.04651
187,26,0.02824,0.01669,0.00071,0.05558
187,27,0.03667,0.01428,0.01439,0.05799
187,28,0.02039,0.01158,0.00791,0.04187
187,29,0.03493,0.00425,0.03085,0.04229
187,31,0.01724,0.00831,0.00327,0.02702
187,40,0.02237,0.01124,0.00555,0.03718
187,44,0.02288,0.00683,0.01315,0.03591
187,47,0.02261,0.01324,0.0071,0.04877
187,48,0.01841,0.01145,0.00357,0.03666
187,53,0.02083,0.00907,0.00909,0.03775
187,54,0.04562,0.009,0.03007,0.06089
187,55,0.08242,0.00838,0.07362,0.09805
187,56,0.07532,0.00993,0.06187,0.09403
187,57,0.08076,0.01701,0.05103,0.10737
187,58,0.05838,0.00938,0.04525,0.07135
187,59,0.05967,0.00999,0.04827,0.07479
187,60,0.08283,0.01262,0.06525,0.0976
187,61,0.10391,0.01604,0.08591,0.12555
187,62,0.10962,0.01247,0.09459,0.12945
187,63,0.09552,0.01375,0.0714,0.10824
187,64,0.08403,0.01323,0.05806,0.09859
187,65,0.10119,0.00929,0.09105,0.11336
187,66,0.09798,0.01316,0.07856,0.11546
187,67,0.08806,0.01916,0.05833,0.10844
187,68,0.08724,0.0186,0.05623,0.10588
187,69,0.05014,0.01906,0.02714,0.07778
187,70,0.07277,0.01731,0.04657,0.0965
187,71,0.05474,0.01957,0.0253,0.07599
187,72,0.08171,0.01071,0.06745,0.09831
187,73,0.05606,0.01954,0.01811,0.08131
187,75,0.04919,0.02481,0.00768,0.08837
187,77,0.02882,0.01376,0.00823,0.0433
187,80,0.04195,0.01742,0.02002,0.06106
187,82,0.00769,0.00466,0.0018,0.01545
187,86,0.04751,0.01416,0.03549,0.07829
187,94,0.03438,0.01581,0.00295,0.04804
187,96,0.03937,0.01964,0.00565,0.06886
187,97,0.02273,0.0062,0.01398,0.03044
187,100,0.03145,0.00755,0.02331,0.04329
187,101,0.0445,0.01758,0.01129,0.06931
187,102,0.02694,0.0069,0.0158,0.0344
187,104,0.03186,0.01785,0.00154,0.04943
187,108,0.0708,0.01911,0.03643,0.09307
187,109,0.08077,0.02032,0.05264,0.10748
187,110,0.0843,0.01254,0.06717,0.10178
187,111,0.09262,0.0085,0.07774,0.10292
187,112,0.03405,0.01862,0.00545,0.06136
187,113,0.03366,0.0111,0.01136,0.04772
187,114,0.05945,0.02414,0.0252,0.09352
187,115,0.07266,0.01284,0.06224,0.09878
187,117,0.03996,0.01754,0.01965,0.06337
187,118,0.04091,0.00823,0.02529,0.0533
187,139,0.03368,0.01623,0.00012,0.05113
187,143,0.02233,0.01798,0.00024,0.0493
187,145,0.01928,0.00618,0.01384,0.02868
187,146,0.01233,0.00811,0.0016,0.026
187,147,0.01612,0.00729,0.00253,0.02494
187,148,0.02717,0.01101,0.00904,0.04365
187,149,0.04442,0.01176,0.03155,0.06383
187,151,0.0192,0.00538,0.01214,0.0278
195,22,0.0198,0.01164,0.00215,0.03646
195,42,0.0378,0.02216,0.00131,0.06655
195,49,0.01786,0.01789,0.00316,0.05563
195,53,0.02761,0.01543,0.00976,0.05858
195,56,0.03103,0.00768,0.01921,0.04173
195,57,0.03225,0.01032,0.01381,0.04366
195,58,0.04427,0.0102,0.0268,0.05885
197,1,0.02106,0.0195,0.0058,0.06347
197,3,0.02401,0.0118,0.01292,0.04443
197,5,0.02379,0.01355,0.00964,0.04062
197,6,0.02527,0.0078,0.02046,0.04263
197,17,0.02328,0.01403,0.00816,0.04075
197,18,0.02516,0.00793,0.0195,0.0425
197,27,0.01196,0.00529,0.00584,0.01838
197,28,0.01519,0.00778,0.00779,0.02966
197,29,0.01646,0.00744,0.0122,0.03306
197,30,0.01611,0.01114,6e-05,0.03138
197,33,0.02026,0.0146,0.00051,0.04
197,34,0.02317,0.0072,0.01759,0.03863
197,35,0.02623,0.01197,0.01857,0.05277
197,36,0.02301,0.00929,0.01789,0.04373
197,37,0.03063,0.01058,0.02283,0.05181
197,38,0.00998,0.00766,0.00207,0.02179
197,39,0.04091,0.01305,0.02405,0.05655
197,40,0.03802,0.00662,0.02753,0.04386
197,41,0.02988,0.00685,0.0232,0.04426
197,42,0.02486,0.00567,0.01873,0.03585
197,45,0.01375,0.00355,0.00841,0.01983
197,46,0.02765,0.00564,0.0215,0.03901
197,47,0.02415,0.0062,0.01484,0.02939
197,48,0.01742,0.00368,0.01404,0.02452
197,49,0.04234,0.00176,0.04002,0.04445
197,50,0.0369,0.00658,0.02729,0.04461
197,52,0.03517,0.01297,0.01627,0.04722
197,53,0.03193,0.01385,0.01436,0.05391
197,54,0.03282,0.0122,0.01733,0.05312
197,55,0.04655,0.01206,0.02972,0.06148
197,56,0.03411,0.01435,0.01337,0.04692
197,57,0.04199,0.01378,0.02112,0.05334
197,58,0.04446,0.00688,0.03848,0.05906
197,59,0.05052,0.00761,0.03969,0.05716
197,60,0.06165,0.00439,0.05619,0.06802
197,61,0.05982,0.0039,0.05574,0.0646
197,62,0.05177,0.00562,0.04577,0.05962
197,63,0.0315,0.0044,0.02486,0.03776
197,64,0.0313,0.01056,0.01964,0.04459
197,65,0.01328,0.00151,0.01181,0.01542
197,66,0.01416,0.00411,0.00938,0.01958
197,67,0.03117,0.00795,0.02017,0.04173
197,68,0.02147,0.01262,0.00433,0.03401
197,70,0.02912,0.01081,0.01268,0.04098
197,72,0.03635,0.0233,0.00325,0.05412
197,73,0.05249,0.01935,0.02402,0.06812
197,74,0.04622,0.02174,0.01494,0.06188
197,75,0.04664,0.00868,0.03422,0.0536
197,76,0.02956,0.01217,0.01707,0.05362
197,77,0.0377,0.02196,0.00739,0.06476
197,78,0.03781,0.02009,0.01034,0.06828
197,79,0.03972,0.01811,0.01589,0.0649
197,80,0.04678,0.01524,0.02498,0.063
197,81,0.04997,0.00784,0.03871,0.05684
197,82,0.04791,0.00292,0.04426,0.05175
197,83,0.04316,0.00246,0.04114,0.04829
197,84,0.04147,0.00564,0.03589,0.05183
197,85,0.042,0.00633,0.02855,0.04768
197,86,0.043,0.01074,0.03421,0.06032
197,87,0.04479,0.00561,0.0398,0.05661
197,88,0.0403,0.00993,0.02683,0.05345
197,89,0.04345,0.01232,0.02578,0.05448
197,90,0.0445,0.00785,0.03265,0.05079
197,91,0.03445,0.00643,0.02702,0.04765
197,92,0.03637,0.00632,0.02776,0.04492
197,93,0.01936,0.00712,0.00928,0.03077
197,94,0.01164,0.00204,0.00838,0.01455
197,95,0.0319,0.00789,0.01455,0.0376
197,96,0.02386,0.00748,0.00875,0.03071
197,98,0.00691,0.0038,0.00095,0.01112
197,99,0.00671,0.00342,0.00274,0.01333
197,103,0.04108,0.01772,0.02386,0.06915
197,104,0.04773,0.00904,0.03451,0.0573
197,105,0.02237,0.00157,0.02015,0.02444
197,107,0.0274,0.01,0.01517,0.04486
197,108,0.02615,0.00242,0.02168,0.02908
197,112,0.03986,0.00962,0.03011,0.05476
197,114,0.02831,0.01382,0.00786,0.04742
197,115,0.01975,0.01355,0.00357,0.03795
197,121,0.0363,0.02286,0.00272,0.05631
197,122,0.03431,0.02315,0.00111,0.0571
197,123,0.03555,0.02251,0.00361,0.05678
197,126,0.03029,0.00937,0.01639,0.03878
197,127,0.02792,0.01263,0.00948,0.03848
197,128,0.0253,0.0128,0.00668,0.03608
197,129,0.02318,0.01151,0.00621,0.03385
197,135,0.01232,0.00848,0.0003,0.01931
197,136,0.01262,0.00823,0.00101,0.01956
197,137,0.01294,0.00816,0.00149,0.02014
197,138,0.01301,0.00818,0.00151,0.01998
197,139,0.01242,0.00774,0.00135,0.01887
197,140,0.01273,0.00869,0.00019,0.0195
197,141,0.01281,0.00591,0.00444,0.01768
197,142,0.01448,0.00723,0.00416,0.02062
197,143,0.0153,0.00555,0.00743,0.01983
203,137,0.04588,0.01181,0.02778,0.06181
203,138,0.03662,0.0144,0.00854,0.05729
203,139,0.02453,0.01611,0.00056,0.05484
203,146,0.02596,0.01193,0.00526,0.04937
203,147,0.02679,0.01516,0.00087,0.05065
203,148,0.02222,0.01422,0.00329,0.04618
203,149,0.03059,0.01568,0.00091,0.05156
203,154,0.01902,0.0125,2e-05,0.03816
203,161,0.03881,0.01228,0.01017,0.05247
204,2,0.02423,0.01172,0.00258,0.0384
228,1,0.02666,0.01374,0.01474,0.05627
228,2,0.02113,0.01539,0.0045,0.04949
228,4,0.03166,0.01548,0.0111,0.05292
228,5,0.05543,0.01364,0.03552,0.08146
228,6,0.04143,0.01432,0.02229,0.06077
228,7,0.0267,0.01232,0.00976,0.04391
228,9,0.03042,0.01144,0.01394,0.04579
228,13,0.01302,0.0059,0.0049,0.02081
228,15,0.01547,0.01164,0.00116,0.03881
228,17,0.03646,0.01082,0.0209,0.05211
228,27,0.0162,0.01257,0.00206,0.03787
228,28,0.01511,0.01134,0.00412,0.03318
228,29,0.01578,0.00733,0.00884,0.02795
228,30,0.01264,0.00903,0.00275,0.02511
228,31,0.01385,0.01083,0.00281,0.03119
232,1,0.08492,0.01011,0.06933,0.09477
232,2,0.08158,0.01393,0.0589,0.09663
232,3,0.08534,0.011,0.066,0.10189
232,4,0.06988,0.0108,0.04874,0.07873
232,5,0.06556,0.01415,0.03432,0.07579
232,19,0.00993,0.01181,0.0015,0.03405
232,46,0.02719,0.01235,0.00363,0.04223
232,49,0.03811,0.02147,0.01012,0.0641
232,51,0.07061,0.01688,0.04634,0.08788
232,52,0.09384,0.02281,0.06291,0.12496
232,53,0.12677,0.02906,0.09335,0.17175
232,54,0.1298,0.02609,0.10089,0.16785
232,55,0.13981,0.02203,0.11036,0.17459
232,56,0.1347,0.0225,0.10391,0.16844
232,57,0.12462,0.01919,0.09194,0.15508
232,58,0.03712,0.01294,0.0171,0.05487
232,60,0.03111,0.01501,0.0063,0.04847
232,61,0.04699,0.0104,0.03,0.05529
